Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
145|Danny Drinkwater|eng ENG|MF|Leicester City|26|1990|27.4|6|0|0|46|10|1|28|42|58|0|0|0|Matches
146|Nathan Dyer|eng ENG|"FW,MF"|Swansea City|28|1987|2.4|0|0|0|4|7|0|6|3|4|0|0|0|Matches
147|Ovie Ejaria|eng ENG|"FW,MF"|Liverpool|18|1997|0.1|0|0|0|0|0|0|0|0|0|0|0|0|Matches
148|Omar Elabdellaoui|no NOR|"DF,MF"|Hull City|24|1991|6.8|0|0|0|2|3|0|15|10|4|0|0|0|Matches
149|Andrew Eleftheriou|eng ENG|DF|Watford|18|1997|0.6|0|0|0|0|0|0|1|2|1|0|0|0|Matches
150|Ahmed Elmohamady|eg EGY|"DF,MF"|Hull City|28|1987|28.0|3|1|0|22|15|1|124|51|36|0|1|1|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
151|Mohamed Elneny|eg EGY|MF|Arsenal|24|1992|7.7|1|0|0|10|5|0|8|8|14|0|0|0|Matches
152|Christian Eriksen|dk DEN|"FW,MF"|Tottenham|24|1992|35.1|0|0|0|20|27|2|246|25|35|0|0|0|Matches
153|Bernardo Espinosa|co COL|DF|Middlesbrough|27|1989|10.8|2|0|0|17|7|1|2|21|17|0|1|0|Matches
154|Jonny Evans|nir NIR|DF|West Brom|28|1988|29.3|8|0|0|30|27|0|9|82|26|0|0|0|Matches
155|Łukasz Fabiański|pl POL|GK|Swansea City|31|1985|37.0|1|0|0|0|4|0|0|1|2|0|1|0|Matches
156|Fábio|br BRA|DF|Middlesbrough|26|1990|20.5|8|0|0|29|21|4|71|37|51|0|0|0|Matches
157|Cesc Fàbregas|es ESP|"FW,MF"|Chelsea|29|1987|14.9|8|0|0|23|18|0|85|14|27|0|0|0|Matches
158|Adam Federici|au AUS|GK|Bournemouth|31|1985|2.0|1|0|0|0|0|0|0|0|0|0|0|0|Matches
159|Sofiane Feghouli|dz ALG|"FW,MF"|West Ham|26|1989|11.6|1|1|0|11|18|2|64|14|13|0|1|0|Matches
160|Marouane Fellaini|be BEL|MF|Manchester Utd|28|1987|17.8|9|1|0|41|20|3|4|30|41|0|2|0|Matches
161|Leroy Fer|nl NED|MF|Swansea City|26|1990|26.7|9|0|0|48|50|1|15|23|41|0|0|0|Matches
162|Edimilson Fernandes|ch SUI|"DF,MF"|West Ham|20|1996|11.1|4|0|0|16|7|1|11|20|14|0|0|0|Matches
163|Federico Fernández|ar ARG|DF|Swansea City|27|1989|27.0|7|0|0|26|16|0|5|50|30|0|2|0|Matches
164|Fernandinho|br BRA|"DF,MF"|Manchester City|31|1985|30.6|4|2|0|48|36|2|24|65|55|0|2|0|Matches
165|Fernando|br BRA|"DF,MF"|Manchester City|29|1987|6.3|3|0|0|11|7|0|1|14|14|0|0|0|Matches
